CMDLINE python leak_demo.py
MEM 1.125000 1654973316.5036
MEM 22.734375 1654973316.6039
MEM 33.402344 1654973316.7042
MEM 48.152344 1654973316.8045
MEM 60.437500 1654973316.9048
MEM 63.000000 1654973317.0056
MEM 68.433594 1654973317.1065
MEM 72.324219 1654973317.2071
MEM 76.652344 1654973317.3082
MEM 75.765625 1654973317.4089
MEM 83.339844 1654973317.5095
MEM 100.320312 1654973317.6099
MEM 102.183594 1654973317.7104
MEM 110.019531 1654973317.8108
MEM 127.671875 1654973317.9111
MEM 138.242188 1654973318.0115
MEM 147.820312 1654973318.1123
MEM 157.734375 1654973318.2133
MEM 157.992188 1654973318.3142
MEM 157.992188 1654973318.4146
MEM 157.992188 1654973318.5149
MEM 157.992188 1654973318.6152
MEM 169.746094 1654973318.7160
MEM 179.906250 1654973318.8165
MEM 187.179688 1654973318.9173
MEM 187.953125 1654973319.0177
MEM 208.535156 1654973319.1180
MEM 240.113281 1654973319.2184
MEM 244.667969 1654973319.3188
MEM 244.667969 1654973319.4193
MEM 265.609375 1654973319.5196
MEM 297.425781 1654973319.6198
MEM 323.863281 1654973319.7202
MEM 323.863281 1654973319.8206
MEM 323.863281 1654973319.9211
MEM 335.750000 1654973320.0214
MEM 367.152344 1654973320.1217
MEM 403.937500 1654973320.2220
MEM 409.148438 1654973320.3225
MEM 409.148438 1654973320.4229
MEM 409.148438 1654973320.5233
MEM 416.781250 1654973320.6236
MEM 450.445312 1654973320.7240
MEM 466.503906 1654973320.8243
MEM 498.394531 1654973320.9247
MEM 498.394531 1654973321.0252
MEM 498.394531 1654973321.1256
MEM 498.394531 1654973321.2260
MEM 498.394531 1654973321.3265
MEM 526.746094 1654973321.4269
MEM 541.652344 1654973321.5276
MEM 547.507812 1654973321.6283
MEM 547.507812 1654973321.7289
MEM 547.507812 1654973321.8296
MEM 568.648438 1654973321.9299
MEM 591.566406 1654973322.0303
MEM 612.125000 1654973322.1309
MEM 612.125000 1654973322.2313
MEM 612.125000 1654973322.3317
MEM 612.125000 1654973322.4322
MEM 612.125000 1654973322.5327
MEM 617.367188 1654973322.6331
MEM 641.867188 1654973322.7335
MEM 661.035156 1654973322.8338
MEM 681.800781 1654973322.9344
MEM 704.777344 1654973323.0348
MEM 726.781250 1654973323.1351
MEM 738.238281 1654973323.2355
MEM 738.238281 1654973323.3360
MEM 738.238281 1654973323.4364
MEM 738.238281 1654973323.5369
MEM 738.238281 1654973323.6373
MEM 738.238281 1654973323.7377
MEM 738.238281 1654973323.8381
MEM 750.375000 1654973323.9385
MEM 768.253906 1654973324.0388
MEM 786.000000 1654973324.1391
MEM 813.351562 1654973324.2395
MEM 834.812500 1654973324.3398
MEM 850.933594 1654973324.4401
MEM 862.453125 1654973324.5404
MEM 862.453125 1654973324.6408
MEM 862.453125 1654973324.7411
MEM 869.941406 1654973324.8415
MEM 882.457031 1654973324.9420
MEM 882.457031 1654973325.0425
MEM 882.457031 1654973325.1430
MEM 882.457031 1654973325.2437
MEM 882.457031 1654973325.3446
MEM 882.457031 1654973325.4454
MEM 882.457031 1654973325.5462
MEM 882.457031 1654973325.6468
MEM 893.070312 1654973325.7473
MEM 916.968750 1654973325.8478
MEM 934.328125 1654973325.9481
MEM 955.683594 1654973326.0485
MEM 975.613281 1654973326.1489
MEM 1004.523438 1654973326.2492
MEM 1017.734375 1654973326.3495
MEM 1046.195312 1654973326.4498
MEM 1060.097656 1654973326.5503
MEM 1060.097656 1654973326.6507
MEM 1060.097656 1654973326.7534
MEM 1060.097656 1654973326.8539
MEM 1060.097656 1654973326.9544
MEM 1060.097656 1654973327.0549
MEM 1060.097656 1654973327.1553
MEM 1060.097656 1654973327.2557
MEM 1060.097656 1654973327.3562
MEM 1060.097656 1654973327.4565
MEM 1078.765625 1654973327.5568
MEM 1097.746094 1654973327.6571
MEM 1116.585938 1654973327.7574
MEM 1139.425781 1654973327.8577
MEM 1158.242188 1654973327.9580
MEM 1162.066406 1654973328.0582
MEM 1162.066406 1654973328.1585
MEM 1162.066406 1654973328.2588
MEM 1180.285156 1654973328.3592
