CMDLINE python leak_demo.py
MEM 6.589844 1654973457.2327
MEM 22.242188 1654973457.3331
MEM 32.417969 1654973457.4334
MEM 41.960938 1654973457.5336
MEM 55.742188 1654973457.6339
MEM 62.761719 1654973457.7343
MEM 72.015625 1654973457.8346
MEM 76.429688 1654973457.9349
MEM 80.460938 1654973458.0352
MEM 96.027344 1654973458.1355
MEM 105.000000 1654973458.2359
MEM 111.496094 1654973458.3362
MEM 139.343750 1654973458.4366
MEM 139.859375 1654973458.5369
MEM 158.765625 1654973458.6372
MEM 158.765625 1654973458.7375
MEM 158.765625 1654973458.8378
MEM 173.324219 1654973458.9381
MEM 187.871094 1654973459.0385
MEM 187.871094 1654973459.1389
MEM 204.054688 1654973459.2393
MEM 226.839844 1654973459.3396
MEM 241.269531 1654973459.4400
MEM 241.269531 1654973459.5404
MEM 220.566406 1654973459.6408
MEM 233.218750 1654973459.7411
MEM 247.839844 1654973459.8415
MEM 240.796875 1654973459.9419
MEM 255.144531 1654973460.0422
MEM 284.902344 1654973460.1428
MEM 289.699219 1654973460.2432
MEM 289.699219 1654973460.3436
MEM 273.957031 1654973460.4440
MEM 284.531250 1654973460.5444
MEM 284.531250 1654973460.6448
MEM 268.023438 1654973460.7453
MEM 277.562500 1654973460.8455
MEM 301.554688 1654973460.9460
MEM 301.554688 1654973461.0464
MEM 304.015625 1654973461.1468
MEM 317.710938 1654973461.2471
MEM 321.304688 1654973461.3475
MEM 321.304688 1654973461.4480
MEM 304.449219 1654973461.5484
MEM 304.449219 1654973461.6487
MEM 304.449219 1654973461.7490
MEM 304.449219 1654973461.8493
MEM 314.519531 1654973461.9495
MEM 323.000000 1654973462.0500
MEM 320.863281 1654973462.1504
MEM 324.476562 1654973462.2507
MEM 347.812500 1654973462.3512
MEM 347.812500 1654973462.4517
MEM 338.996094 1654973462.5520
MEM 349.402344 1654973462.6523
MEM 362.644531 1654973462.7527
MEM 362.644531 1654973462.8531
MEM 362.644531 1654973462.9536
MEM 328.992188 1654973463.0539
MEM 331.820312 1654973463.1543
MEM 332.593750 1654973463.2547
MEM 323.488281 1654973463.3554
MEM 326.582031 1654973463.4560
MEM 326.582031 1654973463.5568
MEM 326.582031 1654973463.6572
MEM 329.625000 1654973463.7578
MEM 331.171875 1654973463.8583
MEM 331.941406 1654973463.9588
MEM 332.464844 1654973464.0591
MEM 334.785156 1654973464.1594
MEM 353.589844 1654973464.2601
MEM 353.589844 1654973464.3605
MEM 335.203125 1654973464.4608
MEM 338.035156 1654973464.5612
MEM 338.035156 1654973464.6615
MEM 338.035156 1654973464.7617
MEM 338.035156 1654973464.8620
MEM 340.351562 1654973464.9624
MEM 340.351562 1654973465.0628
MEM 326.687500 1654973465.1632
MEM 329.523438 1654973465.2636
MEM 329.777344 1654973465.3640
MEM 329.777344 1654973465.4644
MEM 335.964844 1654973465.5648
MEM 345.097656 1654973465.6650
MEM 358.453125 1654973465.7655
MEM 358.453125 1654973465.8659
MEM 358.453125 1654973465.9664
MEM 343.593750 1654973466.0667
MEM 344.367188 1654973466.1670
MEM 344.367188 1654973466.2674
MEM 344.367188 1654973466.3679
MEM 332.003906 1654973466.4682
MEM 337.675781 1654973466.5686
MEM 337.675781 1654973466.6690
MEM 327.566406 1654973466.7693
MEM 328.339844 1654973466.8696
MEM 334.789062 1654973466.9704
MEM 334.789062 1654973467.0711
MEM 331.980469 1654973467.1716
MEM 345.128906 1654973467.2724
MEM 351.312500 1654973467.3731
MEM 351.312500 1654973467.4739
MEM 349.343750 1654973467.5744
MEM 349.343750 1654973467.6747
MEM 349.343750 1654973467.7750
MEM 349.343750 1654973467.8753
MEM 349.343750 1654973467.9756
MEM 352.171875 1654973468.0760
MEM 352.171875 1654973468.1763
MEM 334.578125 1654973468.2767
MEM 339.476562 1654973468.3770
MEM 339.992188 1654973468.4774
MEM 339.992188 1654973468.5779
MEM 316.160156 1654973468.6782
MEM 322.605469 1654973468.7785
MEM 328.792969 1654973468.8789
MEM 328.792969 1654973468.9793
MEM 313.546875 1654973469.0796
MEM 315.343750 1654973469.1799
MEM 315.343750 1654973469.2804
MEM 315.343750 1654973469.3808
MEM 297.250000 1654973469.4813
MEM 297.765625 1654973469.5816
MEM 297.765625 1654973469.6820
MEM 288.933594 1654973469.7824
MEM 290.160156 1654973469.8827
MEM 296.691406 1654973469.9831
MEM 296.691406 1654973470.0835
MEM 288.789062 1654973470.1839
MEM 289.046875 1654973470.2842
MEM 289.046875 1654973470.3846
MEM 289.046875 1654973470.4851
MEM 273.105469 1654973470.5855
MEM 273.800781 1654973470.6858
MEM 273.800781 1654973470.7861
MEM 273.800781 1654973470.8863
MEM 280.500000 1654973470.9866
MEM 289.296875 1654973471.0874
MEM 289.296875 1654973471.1883
MEM 281.792969 1654973471.2888
MEM 291.847656 1654973471.3894
MEM 294.167969 1654973471.4900
MEM 294.167969 1654973471.5905
MEM 290.835938 1654973471.6908
MEM 310.167969 1654973471.7911
MEM 310.167969 1654973471.8916
MEM 302.121094 1654973471.9919
MEM 309.339844 1654973472.0922
MEM 316.296875 1654973472.1926
MEM 316.296875 1654973472.2931
MEM 281.332031 1654973472.3934
MEM 287.519531 1654973472.4939
MEM 238.417969 1654973472.5943
MEM 183.441406 1654973472.6947
